Pet ID,Species,Breed,Age,Symptoms,Medical Health,Treatment,Weight (kg),Owner ID,Checkup Date
PET0001,Rabbit,Mini Rex,2,Coughing,Critical,Surgery,3.83,OWN0001,2022-01-01
PET0002,Hamster,Dwarf Campbell,3,Vomiting,Recovering,Therapy,39.39,OWN0002,2022-01-02
PET0003,Bird,Finch,13,Lethargy,Chronic Illness,None,26.82,OWN0003,2022-01-03
PET0004,Hamster,Winter White,7,Diarrhea,Chronic Illness,None,11.77,OWN0004,2022-01-04
PET0005,Hamster,Roborovski,6,Coughing,Recovering,Surgery,23.64,OWN0005,2022-01-05
PET0006,Cat,Persian,12,Sneezing,Chronic Illness,None,4.82,OWN0006,2022-01-06
PET0007,Bird,Parakeet,8,Lethargy,Healthy,Surgery,38.65,OWN0007,2022-01-07
PET0008,Bird,Parrot,8,Sneezing,Chronic Illness,None,7.4,OWN0008,2022-01-08
PET0009,Bird,Parakeet,6,Sneezing,Chronic Illness,Medication,26.1,OWN0009,2022-01-09
PET0010,Hamster,Winter White,12,Vomiting,Recovering,Surgery,10.2,OWN0010,2022-01-10
PET0011,Rabbit,Holland Lop,11,Vomiting,Recovering,Surgery,28.84,OWN0011,2022-01-11
PET0012,Bird,Cockatiel,10,Lethargy,Chronic Illness,Observation,31.18,OWN0012,2022-01-12
PET0013,Hamster,Dwarf Campbell,3,Diarrhea,Minor Illness,None,27.1,OWN0013,2022-01-13
PET0014,Cat,Siamese,3,Lethargy,Recovering,None,24.77,OWN0014,2022-01-14
PET0015,Rabbit,Mini Rex,1,Diarrhea,Critical,Surgery,35.75,OWN0015,2022-01-15
PET0016,Cat,Persian,7,Sneezing,Critical,Medication,3.61,OWN0016,2022-01-16
PET0017,Rabbit,Flemish Giant,5,Coughing,Healthy,Medication,13.57,OWN0017,2022-01-17
PET0018,Hamster,Dwarf Campbell,4,Lethargy,Chronic Illness,Medication,10.31,OWN0018,2022-01-18
PET0019,Dog,Poodle,10,Lethargy,Minor Illness,None,39.53,OWN0019,2022-01-19
PET0020,Rabbit,Netherland Dwarf,4,Diarrhea,Healthy,Observation,15.88,OWN0020,2022-01-20
PET0021,Cat,Persian,14,Sneezing,Chronic Illness,Surgery,29.44,OWN0021,2022-01-21
PET0022,Hamster,Roborovski,4,Sneezing,Recovering,Therapy,27.55,OWN0022,2022-01-22
PET0023,Rabbit,Mini Rex,6,Diarrhea,Critical,Observation,8.88,OWN0023,2022-01-23
PET0024,Dog,Terrier,8,Sneezing,Minor Illness,Therapy,9.94,OWN0024,2022-01-24
PET0025,Dog,Beagle,8,Vomiting,Critical,Observation,11.61,OWN0025,2022-01-25
PET0026,Bird,Finch,5,Coughing,Recovering,Medication,16.74,OWN0026,2022-01-26
PET0027,Bird,Finch,6,Lethargy,Chronic Illness,None,9.76,OWN0027,2022-01-27
PET0028,Cat,Bengal,4,Coughing,Recovering,Therapy,1.28,OWN0028,2022-01-28
PET0029,Rabbit,Mini Rex,12,Lethargy,Recovering,Observation,35.24,OWN0029,2022-01-29
PET0030,Rabbit,Holland Lop,14,Vomiting,Critical,None,38.64,OWN0030,2022-01-30
PET0031,Bird,Cockatiel,11,Sneezing,Minor Illness,Therapy,13.99,OWN0031,2022-01-31
PET0032,Rabbit,Mini Rex,13,Diarrhea,Recovering,Surgery,13.87,OWN0032,2022-02-01
PET0033,Rabbit,Flemish Giant,9,Vomiting,Critical,Observation,0.78,OWN0033,2022-02-02
PET0034,Dog,Labrador,8,Coughing,Minor Illness,Surgery,27.37,OWN0034,2022-02-03
